year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2017-04,2017-18,2017,4,8486,Equipment,Export,0.26,1627.2,23.08,65.38,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-04,2017-18,2017,4,8541,Devices,Export,5.12,821.4,19.92,39.65,43,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-04,2017-18,2017,4,8542,ICs,Export,6.69,1124.2,19.88,50.37,38,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,8486,Equipment,Export,0.27,1742.1,33.33,62.96,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,8541,Devices,Export,7.18,852.7,18.94,45.4,51,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,8542,ICs,Export,3.02,1082.6,20.2,47.35,32,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,8486,Equipment,Export,0.36,1388.9,27.78,52.78,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,8541,Devices,Export,7.15,1020.8,23.22,48.25,44,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,8542,ICs,Export,7.89,2485.1,45.37,67.93,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,3818,Raw_Materials,Export,0.13,5739.6,69.23,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,8486,Equipment,Export,0.45,1733.3,35.56,60.0,16,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,8541,Devices,Export,8.6,793.6,19.3,37.79,49,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,8542,ICs,Export,3.94,1694.6,34.01,58.88,28,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,8486,Equipment,Export,0.33,2396.7,42.42,69.7,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,8541,Devices,Export,16.92,1126.3,21.93,48.05,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,8542,ICs,Export,5.11,2099.8,39.92,66.14,29,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-09,2017-18,2017,9,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
