year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2017-04,2017-18,2017,4,3818,Raw_Materials,Import,11.69,5238.4,65.44,98.72,5,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-04,2017-18,2017,4,8486,Equipment,Import,1.97,5383.0,71.07,96.45,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-04,2017-18,2017,4,8541,Devices,Import,579.4,7252.6,84.94,92.29,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-04,2017-18,2017,4,8542,ICs,Import,186.8,1550.4,24.39,64.02,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,3818,Raw_Materials,Import,14.62,4690.1,64.23,93.64,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,8486,Equipment,Import,5.67,2585.6,38.1,80.95,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,8541,Devices,Import,470.36,7987.2,89.28,93.71,34,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-05,2017-18,2017,5,8542,ICs,Import,177.63,1615.8,27.01,64.35,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,3818,Raw_Materials,Import,13.45,4596.4,64.68,92.64,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,8486,Equipment,Import,3.46,2885.3,42.77,79.77,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,8541,Devices,Import,432.0,6480.6,79.73,92.28,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-06,2017-18,2017,6,8542,ICs,Import,167.43,1666.1,32.69,59.76,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,3818,Raw_Materials,Import,9.21,6778.1,81.87,92.51,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,8486,Equipment,Import,2.83,4410.2,63.6,89.05,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,8541,Devices,Import,331.08,5176.5,69.41,90.51,33,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-07,2017-18,2017,7,8542,ICs,Import,180.86,1778.8,28.46,64.01,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,3818,Raw_Materials,Import,14.74,7127.2,84.06,93.42,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,8486,Equipment,Import,1.88,1983.9,34.57,67.55,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,8541,Devices,Import,282.84,5804.0,75.43,88.46,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-08,2017-18,2017,8,8542,ICs,Import,196.33,1610.4,28.97,63.46,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-09,2017-18,2017,9,3818,Raw_Materials,Import,21.57,6974.8,82.89,96.62,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-09,2017-18,2017,9,8486,Equipment,Import,2.87,1765.1,28.22,65.16,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-09,2017-18,2017,9,8541,Devices,Import,328.4,6937.5,83.05,90.44,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-09,2017-18,2017,9,8542,ICs,Import,199.33,1742.5,30.13,64.05,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-10,2017-18,2017,10,3818,Raw_Materials,Import,21.29,6873.5,82.29,94.22,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-10,2017-18,2017,10,8486,Equipment,Import,2.64,2755.1,42.42,82.58,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-10,2017-18,2017,10,8541,Devices,Import,232.47,6292.9,79.01,87.12,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-10,2017-18,2017,10,8542,ICs,Import,161.89,1573.5,30.85,60.68,44,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-11,2017-18,2017,11,3818,Raw_Materials,Import,17.88,6033.4,75.34,96.36,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-11,2017-18,2017,11,8486,Equipment,Import,2.6,2354.1,30.38,81.54,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-11,2017-18,2017,11,8541,Devices,Import,304.01,6284.1,78.93,87.24,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-11,2017-18,2017,11,8542,ICs,Import,175.84,1643.2,31.13,62.56,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-12,2017-18,2017,12,3818,Raw_Materials,Import,17.86,7134.8,83.76,96.75,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-12,2017-18,2017,12,8486,Equipment,Import,2.01,3765.5,57.71,85.07,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-12,2017-18,2017,12,8541,Devices,Import,481.88,6995.1,83.36,91.41,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2017-12,2017-18,2017,12,8542,ICs,Import,167.63,1499.8,26.89,60.21,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-01,2017-18,2018,1,3818,Raw_Materials,Import,27.64,7612.5,86.79,96.56,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-01,2017-18,2018,1,8486,Equipment,Import,5.18,3474.5,48.46,89.38,14,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-01,2017-18,2018,1,8541,Devices,Import,412.61,6864.7,82.53,92.03,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-01,2017-18,2018,1,8542,ICs,Import,198.92,1553.5,27.37,59.79,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-02,2017-18,2018,2,3818,Raw_Materials,Import,23.44,8559.1,92.45,96.63,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-02,2017-18,2018,2,8486,Equipment,Import,1.34,1861.2,24.63,68.66,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-02,2017-18,2018,2,8541,Devices,Import,537.71,8060.7,89.71,93.95,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-02,2017-18,2018,2,8542,ICs,Import,205.82,1841.0,30.92,65.84,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,3818,Raw_Materials,Import,25.93,8601.3,92.67,97.45,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,8486,Equipment,Import,5.38,5546.8,73.23,90.89,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,8541,Devices,Import,354.65,6260.8,78.83,86.34,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,8542,ICs,Import,315.93,2669.2,44.21,74.89,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,3818,Raw_Materials,Import,10.89,8026.9,89.44,95.96,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,8486,Equipment,Import,5.88,2329.9,35.03,75.0,8,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,8541,Devices,Import,231.61,3836.4,60.3,77.09,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,8542,ICs,Import,412.2,2114.7,30.16,72.45,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,3818,Raw_Materials,Import,11.17,7572.0,86.75,95.43,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,8486,Equipment,Import,5.84,3085.7,44.69,87.67,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,8541,Devices,Import,267.35,4160.7,63.17,76.92,34,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,8542,ICs,Import,608.42,2492.8,33.92,78.17,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,3818,Raw_Materials,Import,7.68,6711.3,81.38,93.49,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,8486,Equipment,Import,3.17,2567.1,37.85,79.81,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,8541,Devices,Import,179.01,3267.3,54.95,72.1,38,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,8542,ICs,Import,611.21,2421.9,32.98,80.51,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,3818,Raw_Materials,Import,3.08,3689.3,53.9,89.94,6,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,8486,Equipment,Import,3.07,2373.2,35.5,75.24,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,8541,Devices,Import,271.66,4615.0,66.6,82.55,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,8542,ICs,Import,664.09,2964.9,46.78,82.15,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,3818,Raw_Materials,Import,4.41,6070.3,77.1,90.25,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,8486,Equipment,Import,4.89,1652.2,32.52,57.67,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,8541,Devices,Import,328.18,5630.6,74.34,85.63,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,8542,ICs,Import,896.08,2886.7,40.11,84.64,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-09,2018-19,2018,9,3818,Raw_Materials,Import,14.9,8326.1,91.14,96.64,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-09,2018-19,2018,9,8486,Equipment,Import,3.14,2891.6,46.5,81.85,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-09,2018-19,2018,9,8541,Devices,Import,254.96,4263.4,63.08,83.2,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
