year_month,M_hs3818,M_hs8486,M_hs8541,M_hs8542,X_hs3818,X_hs8486,X_hs8541,X_hs8542,IDR_hs3818,IDR_hs8486,IDR_hs8541,IDR_hs8542,iip_div26_index,iip_div26_growth_pct
2017-04,11.69,1.97,579.4,186.8,,0.26,5.12,6.69,0.9999144641176975,0.8834080717488789,0.9912406761103127,0.9654245697452065,116.5,0.3
2017-05,14.62,5.67,470.36,177.63,,0.27,7.18,3.02,0.9999316052253608,0.9545454545454546,0.9849646102944256,0.9832825906448934,136.1,13.1
2017-06,13.45,3.46,432.0,167.43,0.01,0.36,7.15,7.89,0.9992570579494799,0.9057591623036649,0.9837185471934419,0.9549965776865161,124.0,-2.3
2017-07,9.21,2.83,331.08,180.86,0.13,0.45,8.6,3.94,0.9860813704496787,0.8628048780487805,0.9746820536975976,0.9786796536796537,135.2,8.3
2017-08,14.74,1.88,282.84,196.33,,0.33,16.92,5.11,0.9999321619971508,0.8506787330316742,0.9435548438751,0.9746326449563145,178.5,34.9
2017-09,21.57,2.87,328.4,199.33,0.01,1.59,29.6,12.68,0.9995366079703428,0.6434977578475337,0.9173184357541899,0.9401915004009245,184.2,23.4
2017-10,21.29,2.64,232.47,161.89,0.04,0.5,28.73,7.02,0.9981247069854665,0.8407643312101911,0.8900076569678408,0.9584394056006157,152.0,9.5
2017-11,17.88,2.6,304.01,175.84,,0.6,39.78,5.6,0.9999440747161791,0.8125,0.884289828092731,0.9691358024691359,145.9,28.1
2017-12,17.86,2.01,481.88,167.63,0.01,0.59,12.25,10.02,0.9994404029099048,0.7730769230769231,0.9752089531095056,0.9435969603152266,146.8,37.8
2018-01,27.64,5.18,412.61,198.92,,0.53,6.06,5.86,0.9999638218588328,0.9071803852889667,0.9855255929491007,0.9713839242113487,157.2,22.5
2018-02,23.44,1.34,537.71,205.82,0.24,1.28,14.87,10.46,0.9898648648648649,0.5114503816793893,0.973089869340186,0.9516367671536896,145.5,16.5
2018-03,25.93,5.38,354.65,315.93,0.03,0.81,9.09,17.47,0.99884437596302,0.8691437802907916,0.9750096222576566,0.9476004799040193,159.8,15.1
2018-04,10.89,5.88,231.61,412.2,0.06,0.87,8.33,13.59,0.9945205479452054,0.8711111111111111,0.96528298741352,0.9680828577467766,151.6,30.1
2018-05,11.17,5.84,267.35,608.42,0.47,0.87,11.7,12.78,0.9596219931271477,0.8703427719821162,0.9580720301021323,0.9794269156471346,184.8,35.8
2018-06,7.68,3.17,179.01,611.21,,1.15,10.31,11.35,0.9998698086186694,0.7337962962962963,0.9455419395732094,0.9817688254947314,178.9,44.3
2018-07,3.08,3.07,271.66,664.09,0.03,0.5,19.89,24.05,0.9903536977491962,0.8599439775910364,0.9317784256559767,0.9650507164239835,172.7,27.7
2018-08,4.41,4.89,328.18,896.08,2.46,0.58,26.89,20.64,0.6419213973799127,0.8939670932358318,0.9242684541076408,0.9774849463303953,168.3,-5.7
2018-09,14.9,3.14,254.96,966.84,,0.68,22.48,28.47,0.9999328904100396,0.8219895287958114,0.9189734717416379,0.9713958465201796,182.5,-0.9
2018-10,6.56,2.96,230.44,824.3,0.02,0.46,11.75,39.6,0.9969604863221885,0.8654970760233919,0.9514843717742268,0.9541613612686654,197.2,29.7
