state__ut_name,_2013_14___institutions,_2013_14___approved_intake,_2013_14___enrollment,_2013_14___vacancy_,_2014_15___institutions,_2014_15___approved_intake,_2014_15___enrollment,_2014_15___vacancy_,_2015_16___institutions,_2015_16___approved_intake,_2015_16___enrollment,_2015_16___vacancy_,_2016_17___institutions,_2016_17___approved_intake,_2016_17___enrollment,_2016_17___vacancy_
Andhra Pradesh,737,270055,161035,40.37,725,256190,117685,54.06,706,243245,111105,54.32,672,226720,106210,53.15
Arunachal Pradesh,4,555,285,48.65,4,540,270,50.0,4,510,240,52.94,4,510,240,52.94
Assam,32,8460,5775,31.74,35,9240,6555,29.06,33,8625,6720,22.09,32,8190,6450,21.25
Bihar,37,9670,7335,24.15,39,11005,7170,34.85,40,11785,7170,39.16,40,11785,7170,39.16
Chhattisgarh,53,17160,9270,45.98,54,17760,9210,48.14,55,17400,8085,53.53,55,17400,8085,53.53
Goa,6,1620,1410,12.96,6,1620,1380,14.81,6,1620,1320,18.52,6,1620,1380,14.81
Gujarat,135,73810,51720,29.93,139,75640,49380,34.72,135,71225,47025,33.98,132,67705,44730,33.93
Haryana,193,80130,35070,56.23,194,79450,31185,60.75,188,76470,29265,61.73,171,70890,27135,61.72
Himachal Pradesh,33,11970,7905,33.96,32,11630,7470,35.77,32,11240,6825,39.28,31,10860,6240,42.54
Jharkhand,29,10530,5775,45.16,32,10530,5430,48.43,32,10650,5325,50.0,31,10560,5160,51.14
Karnataka,208,97995,73710,24.78,213,100020,67860,32.15,216,99645,65040,34.73,217,97725,64320,34.18
Kerala,151,56310,32850,41.66,152,56265,30780,45.29,148,54690,28290,48.27,140,51780,26010,49.77
Madhya Pradesh,227,91740,47190,48.56,231,88110,38400,56.42,228,84855,35025,58.72,218,81825,32310,60.51
Maharashtra,367,161580,113085,30.01,376,164430,99000,39.79,374,161730,92280,42.94,369,158475,88860,43.93
Manipur,3,870,600,31.03,4,1050,720,31.43,4,1080,720,33.33,4,1080,720,33.33
Meghalaya,3,800,540,32.5,3,870,540,37.93,3,870,540,37.93,3,870,540,37.93
Mizoram,1,240,165,31.25,1,240,150,37.5,1,240,150,37.5,1,240,150,37.5
Nagaland,2,360,270,25.0,2,420,285,32.14,2,420,285,32.14,2,420,285,32.14
Odisha,104,50880,25260,50.35,104,51945,22650,56.4,101,50115,19890,60.31,95,46815,17880,61.81
Punjab,110,46140,21855,52.63,113,46350,17460,62.33,108,44070,14820,66.37,96,39060,12870,67.05
Rajasthan,153,77400,37500,51.55,151,75450,26850,64.41,135,67065,22275,66.79,130,64020,19500,69.54
Sikkim,4,870,480,44.83,4,870,510,41.38,4,870,510,41.38,4,870,510,41.38
Tamil Nadu,566,270960,184725,31.83,568,273510,169200,38.14,557,268365,153165,42.93,548,263325,142905,45.73
Telangana,333,158595,99240,37.43,333,159630,89730,43.79,323,153810,87285,43.25,315,149085,85170,42.87
Tripura,3,700,420,40.0,3,700,420,40.0,3,700,420,40.0,3,700,420,40.0
Uttar Pradesh,361,178455,89055,50.1,369,181440,75300,58.5,357,173460,64995,62.53,321,158400,56895,64.08
Uttarakhand,54,22260,11805,46.97,53,22020,9435,57.15,51,21210,8025,62.16,47,19890,7065,64.48
West Bengal,104,41310,28425,31.19,105,41940,26730,36.27,103,41940,26010,37.98,102,41310,25140,39.14
Chandigarh,5,2880,1815,36.98,5,2880,1530,46.88,5,2880,1290,55.21,5,2880,1170,59.38
Dadra and Nagar Haveli,1,240,180,25.0,1,240,150,37.5,1,240,150,37.5,1,240,150,37.5
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,31,17790,13920,21.75,31,18030,12000,33.44,30,17730,10260,42.13,28,16800,9870,41.25
Jammu and Kashmir,16,3690,1890,48.78,17,3990,1890,52.63,17,3990,1830,54.14,16,3870,1740,55.04
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,9,3990,2310,42.11,9,3990,1950,51.13,9,3960,1830,53.79,9,3960,1740,56.06
Andaman and Nicobar Islands,1,240,120,50.0,1,240,120,50.0,1,240,120,50.0,1,240,120,50.0
Grand Total,4076,1770255,1072990,39.39,4109,1768235,929395,47.44,4012,1706945,858285,49.72,3849,1630120,809140,50.36
