state,academic_year,year,institutions,approved_intake,enrollment,vacancy_pct,fill_rate_pct,period_granularity,synopsis_aligned,source_priority,data_gov_in_resource_id,offline_csv_used,data_source,retrieval_date
Andhra Pradesh,2013-14,2013,737.0,270055.0,161035.0,40.37,59.63,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Andhra Pradesh,2014-15,2014,725.0,256190.0,117685.0,54.06,45.94,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Andhra Pradesh,2015-16,2015,706.0,243245.0,111105.0,54.32,45.68,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Andhra Pradesh,2016-17,2016,672.0,226720.0,106210.0,53.15,46.85,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Arunachal Pradesh,2013-14,2013,4.0,555.0,285.0,48.65,51.35,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Arunachal Pradesh,2014-15,2014,4.0,540.0,270.0,50.0,50.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Arunachal Pradesh,2015-16,2015,4.0,510.0,240.0,52.94,47.06,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Arunachal Pradesh,2016-17,2016,4.0,510.0,240.0,52.94,47.06,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Assam,2013-14,2013,32.0,8460.0,5775.0,31.74,68.26,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Assam,2014-15,2014,35.0,9240.0,6555.0,29.06,70.94,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Assam,2015-16,2015,33.0,8625.0,6720.0,22.09,77.91,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Assam,2016-17,2016,32.0,8190.0,6450.0,21.25,78.75,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Bihar,2013-14,2013,37.0,9670.0,7335.0,24.15,75.85,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Bihar,2014-15,2014,39.0,11005.0,7170.0,34.85,65.15,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Bihar,2015-16,2015,40.0,11785.0,7170.0,39.16,60.84,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Bihar,2016-17,2016,40.0,11785.0,7170.0,39.16,60.84,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Chhattisgarh,2013-14,2013,53.0,17160.0,9270.0,45.98,54.02,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Chhattisgarh,2014-15,2014,54.0,17760.0,9210.0,48.14,51.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Chhattisgarh,2015-16,2015,55.0,17400.0,8085.0,53.53,46.47,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Chhattisgarh,2016-17,2016,55.0,17400.0,8085.0,53.53,46.47,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Goa,2013-14,2013,6.0,1620.0,1410.0,12.96,87.04,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Goa,2014-15,2014,6.0,1620.0,1380.0,14.81,85.19,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Goa,2015-16,2015,6.0,1620.0,1320.0,18.52,81.48,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Goa,2016-17,2016,6.0,1620.0,1380.0,14.81,85.19,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Gujarat,2013-14,2013,135.0,73810.0,51720.0,29.93,70.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Gujarat,2014-15,2014,139.0,75640.0,49380.0,34.72,65.28,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Gujarat,2015-16,2015,135.0,71225.0,47025.0,33.98,66.02,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Gujarat,2016-17,2016,132.0,67705.0,44730.0,33.93,66.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Haryana,2013-14,2013,193.0,80130.0,35070.0,56.23,43.77,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Haryana,2014-15,2014,194.0,79450.0,31185.0,60.75,39.25,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Haryana,2015-16,2015,188.0,76470.0,29265.0,61.73,38.27,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Haryana,2016-17,2016,171.0,70890.0,27135.0,61.72,38.28,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
