country_iso3,country_name,year,enrollment_ratio,indicator,indicator_name,source_authority,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
CHN,China,2015,47.119,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2016,49.309,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2017,51.068,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2018,53.399,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2019,56.605,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2020,61.612,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2021,66.819,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2022,71.58,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2023,74.593,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
CHN,China,2024,76.876,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2015,27.285,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2016,27.304,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2017,27.909,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2018,28.532,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2019,29.023,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2020,29.82,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2021,31.574,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2022,32.67,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2023,34.239,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
IND,India,2024,34.418,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2015,93.968,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2016,93.658,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2017,93.723,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2018,93.328,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2019,93.999,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2020,96.877,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2021,100.36,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2022,102.813,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2023,106.709,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
KOR,South Korea,2024,111.853,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2015,44.29,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2016,45.403,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
