country_iso3,country_name,year,indicator_code,indicator,lending_rate_pct,source_tier,period_granularity,synopsis_aligned,source_priority,notes,data_source,retrieval_date
CHN,China,2015,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2016,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2017,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2018,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2019,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2020,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2021,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2022,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2023,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
CHN,China,2024,FR.INR.LEND,lending_rate_pct,4.35,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
DEU,Germany,2015,ECB.MIR.M.DE.B.A2I.AM.R.A.2240.EUR.N,lending_rate_pct,2.09,ECB_SDMX_MIR,annual,True,P2,"Tier 2b — ECB SDMX live (series MIR/M.DE.B.A2I.AM.R.A.2240.EUR.N): monthly→annual mean of NFC composite cost of borrowing (new business, all amounts)",WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
