country_iso3,country_name,year,indicator_code,indicator,total_tax_rate_pct,carry_forward,carry_forward_from,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
CHN,China,2015,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,68.156016562584,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2016,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,66.480573991058,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2017,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,63.760451488348,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2018,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2019,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2020,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2021,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2022,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2023,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
CHN,China,2024,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,60.576511993526,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2015,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.852466131233,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2016,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.89650602201,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2017,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.988972044455,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2018,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2019,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2020,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2021,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2022,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2023,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
DEU,Germany,2024,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,48.400402159109,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2015,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,55.687902755447,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2016,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,56.167215173705,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2017,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,52.030353594498,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2018,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,46.209958799022,False,,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2019,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,46.209958799022,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2020,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,46.209958799022,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2021,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,46.209958799022,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
IND,India,2022,IC.TAX.TOTL.CP.ZS,total_tax_rate_pct,46.209958799022,True,2018,annual,True,P1,WB_DoingBusiness_Archive_DB04_DB20_xlsx,2026-05-09
