reporter_code,reporter_name,year,hs_code,segment,flow,trade_value_usd,quantity,data_source,retrieval_date,reporter_iso3
410,South Korea,2016,3818,Raw_Materials,Import,1475285766.0,8954355.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2017,3818,Raw_Materials,Import,1806129461.0,11465023.76,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2018,3818,Raw_Materials,Import,2566805907.0,14835640.78,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2019,3818,Raw_Materials,Import,2282530844.0,14903679.43,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2020,3818,Raw_Materials,Import,1977132222.0,12921775.059,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2021,3818,Raw_Materials,Import,2315348461.0,12212832.738,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2022,3818,Raw_Materials,Import,2541168575.0,11230289.073,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2023,3818,Raw_Materials,Import,2388961566.0,9972073.375,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2024,3818,Raw_Materials,Import,2612528654.0,9933208.653,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2016,8486,Equipment,Import,9893583709.0,,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2017,8486,Equipment,Import,20332066585.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2018,8486,Equipment,Import,16899428500.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2019,8486,Equipment,Import,9039329912.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2020,8486,Equipment,Import,15482529819.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2021,8486,Equipment,Import,22214512449.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2022,8486,Equipment,Import,20142343915.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2023,8486,Equipment,Import,17336366723.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2024,8486,Equipment,Import,18660076519.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2016,8541,Devices,Import,4166801816.0,,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2017,8541,Devices,Import,4715575561.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2018,8541,Devices,Import,4657306934.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2019,8541,Devices,Import,5001671323.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2020,8541,Devices,Import,5067327051.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2021,8541,Devices,Import,6264670818.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2022,8541,Devices,Import,5964297685.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2023,8541,Devices,Import,5469832324.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2024,8541,Devices,Import,5098498693.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2016,8542,ICs,Import,29919072248.0,,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2017,8542,ICs,Import,33386617494.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2018,8542,ICs,Import,34522861651.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2019,8542,ICs,Import,35703236563.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2020,8542,ICs,Import,40277147261.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2021,8542,ICs,Import,50339776096.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2022,8542,ICs,Import,62400258370.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2023,8542,ICs,Import,51685861319.0,0.0,Comtrade_API_real,2026-04-26,KOR
410,South Korea,2024,8542,ICs,Import,60492106953.0,0.0,Comtrade_API_real,2026-04-26,KOR
156,China,2016,3818,Raw_Materials,Import,1109352160.0,2270713.594,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,48875425.0,100042.255,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,8238816.0,16863.889,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,141061243.0,288735.799,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,6799.0,13.917,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,105940885.0,216848.55,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,14105.0,28.871,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,27447.0,56.181,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,26562.0,54.369,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,104044.0,212.966,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,176389.0,361.048,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,565652.0,1157.823,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,3945785.0,8076.559,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,4090.0,8.372,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,35627139.0,72924.57,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,113040.0,231.38,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,319337783.0,653646.94,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,6352975.0,13003.794,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,312799345.0,640263.525,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,44108.0,90.284,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,5974624.0,12229.354,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,3527.0,7.219,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,674914.0,1381.47,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,137751.0,281.96,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,108364.0,221.808,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,1882276.0,3852.798,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,4321.0,8.845,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,410150.0,839.529,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,17250.0,35.309,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,174300.0,356.772,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,68548111.0,140309.933,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,6296834.0,12888.88,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,836808.0,1712.848,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,45360.0,92.847,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,574323.0,1175.572,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,18358300.0,37577.284,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,11876726.0,24310.263,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,481113.0,984.782,Comtrade_API_real,2026-04-26,CHN
156,China,2016,3818,Raw_Materials,Import,9685476.0,19825.032,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,1329350945.0,5045426.65,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,47440795.0,166073.889,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,19856459.0,314777.632,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,170256040.0,746860.898,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,22534.0,109.704,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,102243836.0,161623.139,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,3220.0,1.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,18276.0,4.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,111265.0,14.287,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,85829.0,137.4,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,133174.0,33.159,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,549085.0,8154.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,18205.0,69.095,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,6460498.0,15414.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,13669.0,29.264,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,6280.0,3.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,51670787.0,137382.19,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,154153.0,4890.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,374986922.0,1066635.591,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,4523702.0,2001.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,391144941.0,1916861.076,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,507777.0,4093.019,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,5723800.0,6030.0,Comtrade_API_real,2026-04-26,CHN
