period,refYear,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,cifvalue,fobvalue,qty,qtyUnitAbbr,netWgt,grossWgt,hs_code_query,year_query,data_source,retrieval_timestamp,import_value_usd_million,partner_name
2018,2018,IND,India,36,AUS,Australia,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,1466.899,1466.899,,1.0,kg,1.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.0014668989999999998,Australia
2018,2018,IND,India,124,CAN,Canada,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,44251.525,44251.525,,573.0,kg,573.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.044251525,Canada
2018,2018,IND,India,156,CHN,China,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,123906266.725,123906266.725,,3461999.0,kg,3461999.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,123.906266725,China
2018,2018,IND,India,208,DNK,Denmark,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,93496.105,93496.105,,1204.0,kg,1204.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.093496105,Denmark
2018,2018,IND,India,251,FRA,France,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,451237.539,451237.539,,327.0,kg,327.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.45123753899999997,France
2018,2018,IND,India,276,DEU,Germany,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,652727.306,652727.306,,1654.0,kg,1654.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.652727306,Germany
2018,2018,IND,India,344,HKG,"China, Hong Kong SAR",3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,4793.222,4793.222,,6.0,kg,6.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.004793222,"China, Hong Kong Sar"
2018,2018,IND,India,376,ISR,Israel,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,303671.187,303671.187,,879.29,kg,879.29,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.30367118699999995,Israel
2018,2018,IND,India,380,ITA,Italy,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,46270.045,46270.045,,109.0,kg,109.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.046270044999999996,Italy
2018,2018,IND,India,392,JPN,Japan,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,718950.719,718950.719,,1015.0,kg,1015.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.7189507190000001,Japan
2018,2018,IND,India,410,KOR,Rep. of Korea,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",M,Import,38983.121,38983.121,,133.0,kg,133.0,,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485,0.038983121,Rep. Of Korea
