year_month,query_year,query_month,hs_code,segment,country_name,import_value_usd_million,trade_direction,value_type,data_source,retrieval_timestamp
2018-01,2018,1,3818,Raw_Materials,Belgium,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Canada,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,China P Rp,23.99,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Denmark,0.09,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Estonia,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,France,0.05,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Germany,0.02,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Hong Kong,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Israel,0.02,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Italy,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Japan,0.29,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Korea Dp Rp,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Korea Rp,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Malaysia,0.01,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Nepal,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Netherland,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Philippines,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Poland,0.01,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Puerto Rico,0.01,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Russia,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Singapore,0.22,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Spain,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Sweden,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Switzerland,0.07,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Taiwan,2.41,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Thailand,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,U Arab Emts,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,U K,0.01,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,U S A,0.23,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-01,2018,1,3818,Raw_Materials,Ukraine,0.21,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:40.301001
2018-02,2018,2,3818,Raw_Materials,Belgium,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,Canada,0.04,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,China P Rp,21.67,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,Denmark,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,Estonia,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,France,0.05,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,Germany,0.02,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,Hong Kong,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
2018-02,2018,2,3818,Raw_Materials,Israel,0.0,import,USD,DGFT_TRADESTAT_MEIDB_live,2026-05-01T05:53:47.320130
