year_month,hs_code,segment,total_imports_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date,notes
2018-01,3818,Raw_Materials,27.64,7612.5,86.79,96.56,15.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-01,8486,Equipment,5.18,3474.5,48.46,89.38,14.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-01,8541,Devices,412.58,6865.7,82.54,92.03,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-01,8542,ICs,198.92,1553.5,27.37,59.79,42.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-02,3818,Raw_Materials,23.44,8559.1,92.45,96.63,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-02,8486,Equipment,1.34,1861.2,24.63,68.66,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-02,8541,Devices,537.71,8060.7,89.71,93.95,39.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-02,8542,ICs,205.82,1841.0,30.92,65.84,41.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-03,3818,Raw_Materials,25.93,8601.3,92.67,97.45,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-03,8486,Equipment,5.38,5546.8,73.23,90.89,12.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-03,8541,Devices,354.65,6260.8,78.83,86.34,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-03,8542,ICs,315.93,2669.2,44.21,74.89,42.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-05,3818,Raw_Materials,11.17,7572.0,86.75,95.43,9.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-05,8486,Equipment,5.84,3085.7,44.69,87.67,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-05,8541,Devices,267.35,4160.7,63.17,76.92,34.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-05,8542,ICs,608.42,2492.8,33.92,78.17,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-06,3818,Raw_Materials,7.68,6711.3,81.38,93.49,9.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-06,8486,Equipment,3.17,2567.1,37.85,79.81,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-06,8541,Devices,179.01,3267.3,54.95,72.1,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-06,8542,ICs,611.21,2421.9,32.98,80.51,39.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-07,3818,Raw_Materials,3.08,3689.3,53.9,89.94,6.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-07,8486,Equipment,3.07,2373.2,35.5,75.24,9.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-07,8541,Devices,271.66,4615.0,66.6,82.55,37.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-07,8542,ICs,664.09,2964.9,46.78,82.15,41.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-08,3818,Raw_Materials,4.41,6070.3,77.1,90.25,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-08,8486,Equipment,4.89,1652.2,32.52,57.67,13.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-08,8541,Devices,328.18,5630.6,74.34,85.63,37.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-08,8542,ICs,896.08,2886.7,40.11,84.64,37.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-09,3818,Raw_Materials,14.9,8326.1,91.14,96.64,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-09,8486,Equipment,3.14,2891.6,46.5,81.85,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-09,8541,Devices,254.96,4263.4,63.08,83.2,37.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-09,8542,ICs,966.84,2988.9,40.56,86.57,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-10,3818,Raw_Materials,6.56,6461.2,79.57,93.14,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-10,8486,Equipment,2.96,4151.5,46.62,94.26,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-10,8541,Devices,230.44,3134.3,53.06,74.02,34.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-10,8542,ICs,824.3,2735.4,37.25,81.65,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-11,3818,Raw_Materials,5.27,6492.3,80.08,91.27,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-11,8486,Equipment,9.68,4599.4,66.12,84.09,14.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-11,8541,Devices,196.0,3163.7,52.98,77.14,36.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-11,8542,ICs,790.55,2735.5,35.44,83.9,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-12,3818,Raw_Materials,4.63,6236.9,78.19,92.66,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-12,8486,Equipment,6.71,3873.1,60.36,77.2,14.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-12,8541,Devices,304.0,4346.6,64.14,83.58,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2018-12,8542,ICs,643.63,2752.9,35.67,82.56,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-01,3818,Raw_Materials,6.38,5317.3,71.47,89.03,8.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-01,8486,Equipment,2.24,2231.3,30.36,77.68,13.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-01,8541,Devices,315.79,4425.7,64.97,82.34,34.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-01,8542,ICs,846.26,2582.0,33.72,84.83,36.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-02,3818,Raw_Materials,8.6,9142.1,95.58,98.72,7.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-02,8486,Equipment,1.56,3395.8,46.15,88.46,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-02,8541,Devices,304.12,5190.6,71.14,85.01,37.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-02,8542,ICs,636.94,2363.1,34.89,78.35,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-03,3818,Raw_Materials,8.82,8990.2,94.78,97.62,8.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-03,8486,Equipment,1.55,2792.5,46.45,77.42,11.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
