year_month,year,month,iip_div26_index,iip_div26_growth_pct,data_source,retrieval_date,notes
2017-01,2017,January,128.3,6.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-02,2017,February,124.9,2.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-03,2017,March,138.8,15.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-04,2017,April,116.5,0.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-05,2017,May,136.1,13.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-06,2017,June,124.0,-2.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-07,2017,July,135.2,8.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-08,2017,August,178.5,34.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-09,2017,September,184.2,23.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-10,2017,October,152.0,9.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-11,2017,November,145.9,28.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2017-12,2017,December,146.8,37.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-01,2018,January,157.2,22.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-02,2018,February,145.5,16.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-03,2018,March,159.8,15.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-04,2018,April,151.6,30.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-05,2018,May,184.8,35.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-06,2018,June,178.9,44.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-07,2018,July,172.7,27.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-08,2018,August,168.3,-5.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-09,2018,September,182.5,-0.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-10,2018,October,197.2,29.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-11,2018,November,147.4,1.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2018-12,2018,December,152.5,3.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2019-01,2019,January,158.9,1.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
