item,2000_01,2001_02,2002_03,2003_04,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,dataset,2011_12_estimated,data_source,retrieval_date
Consumer Electronics,11950.0,12700.0,13800.0,15200.0,16800.0,18000.0,20000.0,22600.0,25550.0,29000.0,32000.0,34300.0,40447.0,47599.0,55806.0,,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Industrial Electronics,4000.0,4500.0,5550.0,6100.0,8300.0,8800.0,10400.0,11910.0,12740.0,15160.0,17000.0,18700.0,25800.0,33600.0,39374.0,45083.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Computer Hardware,3400.0,3550.0,4250.0,6800.0,8800.0,10800.0,12800.0,15870.0,13490.0,14970.0,14970.0,16500.0,9376.0,17484.0,18691.0,,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Mobile Handsets,4500.0,4500.0,4800.0,5350.0,4800.0,7000.0,9500.0,18700.0,26600.0,31000.0,35400.0,40500.0,34600.0,26650.0,18900.0,54000.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Strategic Electronics,1750.0,1800.0,2500.0,2750.0,3000.0,3200.0,4500.0,5700.0,6840.0,6980.0,7700.0,8500.0,9000.0,13800.0,15700.0,,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Electronics Components,500.0,5700.0,6600.0,7600.0,8800.0,8800.0,8800.0,9630.0,12040.0,13610.0,21800.0,24800.0,26645.0,32102.0,39723.0,,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
LED (Part of Electronic Components),,,,,,,,,,,,,1275.0,1941.0,2172.0,3590.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Sub-Total (Hardware),31100.0,32750.0,37500.0,43800.0,50500.0,56600.0,66000.0,84410.0,97260.0,110720.0,128870.0,143300.0,147143.0,173176.0,190366.0,102673.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Software for Exports,28350.0,36500.0,46100.0,58240.0,80180.0,104100.0,141000.0,164400.0,216190.0,237000.0,268610.0,332769.0,412191.0,527292.0,600000.0,700000.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Domestic Software,9400.0,10874.0,13400.0,16250.0,21740.0,29600.0,37000.0,47010.0,59000.0,67800.0,78700.0,91766.0,104700.0,114784.0,129432.0,140455.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Sub-Total (Software),37750.0,47374.0,59500.0,16250.0,101920.0,133700.0,178000.0,211410.0,275190.0,304800.0,347310.0,424535.0,516891.0,642076.0,729432.0,840455.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Grand Total,68850.0,80124.0,97000.0,118290.0,152420.0,190300.0,244000.0,295820.0,372450.0,415520.0,476180.0,567835.0,664034.0,815252.0,919798.0,943128.0,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Consumer Electronics,11950.0,12700.0,13800.0,15200.0,16800.0,18000.0,20000.0,22600.0,25550.0,29000.0,32000.0,,,,,,Electronics IT Production 2011-12,34300.0,DataGovIn_electronics_API_real,2026-04-26
Industrial Electronics,4000.0,4500.0,5550.0,6100.0,8300.0,8800.0,10400.0,11910.0,12740.0,15160.0,17000.0,,,,,,Electronics IT Production 2011-12,18700.0,DataGovIn_electronics_API_real,2026-04-26
Computer Hardware,3400.0,3550.0,4250.0,6800.0,8800.0,10800.0,12800.0,15870.0,13490.0,14970.0,14970.0,,,,,,Electronics IT Production 2011-12,16500.0,DataGovIn_electronics_API_real,2026-04-26
Communication & Broadcast Equipments,4500.0,4500.0,4800.0,5350.0,4800.0,7000.0,9500.0,18700.0,26600.0,31000.0,35400.0,,,,,,Electronics IT Production 2011-12,40500.0,DataGovIn_electronics_API_real,2026-04-26
Strategic Electronics,1750.0,1800.0,2500.0,2750.0,3000.0,3200.0,4500.0,5700.0,6800.0,6980.0,7700.0,,,,,,Electronics IT Production 2011-12,8500.0,DataGovIn_electronics_API_real,2026-04-26
Electronics Components,500.0,5700.0,6600.0,7600.0,8800.0,8800.0,8800.0,9630.0,12040.0,13610.0,21800.0,,,,,,Electronics IT Production 2011-12,24800.0,DataGovIn_electronics_API_real,2026-04-26
Software for Exports,28350.0,36500.0,46100.0,58240.0,80180.0,104100.0,141000.0,164400.0,216190.0,237000.0,268610.0,,,,,,Electronics IT Production 2011-12,332445.0,DataGovIn_electronics_API_real,2026-04-26
Domestic Software,9400.0,10874.0,13400.0,16250.0,21740.0,29600.0,37000.0,47010.0,59000.0,67800.0,78700.0,,,,,,Electronics IT Production 2011-12,91765.0,DataGovIn_electronics_API_real,2026-04-26
Total,68850.0,80124.0,97000.0,118290.0,152420.0,190300.0,244000.0,295820.0,372450.0,415520.0,476180.0,,,,,,Electronics IT Production 2011-12,567510.0,DataGovIn_electronics_API_real,2026-04-26
