sl_no,category,name_of_the_station,normative_fixed_charges_rs_kwh_85_sg,energy_charge_rate_rs_kwh,total_tariff_rs_kwh,dataset,name_of_generating_station,ecr_rs_kwh,normative_fixed_charges_rs_kwh,data_source,retrieval_date
1.0,NTPC Generating Stations,Singrauli STPS,0.65,1.39,2.04,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
2.0,NTPC Generating Stations,Rihand STPS-I,0.84,1.41,2.25,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
3.0,NTPC Generating Stations,Rihand STPS-II,0.7,1.41,2.11,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
4.0,NTPC Generating Stations,Rihand STPS-III,1.44,1.39,2.83,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
5.0,NTPC Generating Stations,FGUTPS Unchahar-I,1.08,3.04,4.12,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
6.0,NTPC Generating Stations,FGUTPS Unchahar-II,1.01,3.06,4.06,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
7.0,NTPC Generating Stations,FGUTPS Unchahar-III,1.34,3.08,4.42,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
8.0,NTPC Generating Stations,FGUTPS Unchahar-IV,1.55,2.91,4.47,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
9.0,NTPC Generating Stations,Tanda-I,1.26,3.31,4.57,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
10.0,NTPC Generating Stations,Tanda-II,1.6,2.59,4.19,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
11.0,NTPC Generating Stations,NCTPS Dadri-I,0.97,3.32,4.29,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
12.0,NTPC Generating Stations,NCTPS Dadri-II,1.43,3.28,4.71,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
13.0,NTPC Generating Stations,Korba STPS-I&II,0.68,1.39,2.07,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
14.0,NTPC Generating Stations,Korba STPS-III,1.38,1.36,2.75,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
15.0,NTPC Generating Stations,Sipat STPS-I,1.3,1.39,2.69,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
16.0,NTPC Generating Stations,Sipat STPS-II,1.23,1.44,2.68,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
17.0,NTPC Generating Stations,Vindhyachal STPS-I,0.85,1.66,2.52,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
18.0,NTPC Generating Stations,Vindhyachal STPS-II,0.7,1.59,2.29,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
19.0,NTPC Generating Stations,Vindhyachal STPS-III,1.04,1.57,2.62,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
20.0,NTPC Generating Stations,Vindhyachal STPS-IV,1.56,1.56,3.12,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
21.0,NTPC Generating Stations,Vindhyachal STPS-V,1.67,1.6,3.27,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
22.0,NTPC Generating Stations,Lara,1.67,2.03,3.7,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
23.0,NTPC Generating Stations,Solapur,1.72,3.06,4.78,Thermal Power Station Tariff,,,,DataGovIn_tariff_API_real,2026-04-26
