country,country_iso3,year,indicator,value,data_source,retrieval_date
China,CHN,2023,electricity_consumption_kwh_per_capita,6523.71926193193,WorldBank_electricity_API_real,2026-04-26
China,CHN,2022,electricity_consumption_kwh_per_capita,6112.13553560996,WorldBank_electricity_API_real,2026-04-26
China,CHN,2021,electricity_consumption_kwh_per_capita,5847.80226004701,WorldBank_electricity_API_real,2026-04-26
China,CHN,2020,electricity_consumption_kwh_per_capita,5261.94103890582,WorldBank_electricity_API_real,2026-04-26
China,CHN,2019,electricity_consumption_kwh_per_capita,5082.38779040238,WorldBank_electricity_API_real,2026-04-26
China,CHN,2018,electricity_consumption_kwh_per_capita,4842.2067923237,WorldBank_electricity_API_real,2026-04-26
China,CHN,2017,electricity_consumption_kwh_per_capita,4571.04242541442,WorldBank_electricity_API_real,2026-04-26
China,CHN,2016,electricity_consumption_kwh_per_capita,4237.54530584599,WorldBank_electricity_API_real,2026-04-26
China,CHN,2015,electricity_consumption_kwh_per_capita,4017.07781948893,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2023,electricity_consumption_kwh_per_capita,5947.27119952649,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2022,electricity_consumption_kwh_per_capita,6316.27571164921,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2021,electricity_consumption_kwh_per_capita,6582.54587433797,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2020,electricity_consumption_kwh_per_capita,6367.10502947955,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2019,electricity_consumption_kwh_per_capita,6580.29256436905,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2018,electricity_consumption_kwh_per_capita,6815.82136213371,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2017,electricity_consumption_kwh_per_capita,6947.26382648139,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2016,electricity_consumption_kwh_per_capita,6972.36527283762,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2015,electricity_consumption_kwh_per_capita,7032.02144106578,WorldBank_electricity_API_real,2026-04-26
India,IND,2023,electricity_consumption_kwh_per_capita,1181.63126786529,WorldBank_electricity_API_real,2026-04-26
India,IND,2022,electricity_consumption_kwh_per_capita,1085.33520920382,WorldBank_electricity_API_real,2026-04-26
India,IND,2021,electricity_consumption_kwh_per_capita,963.363913685612,WorldBank_electricity_API_real,2026-04-26
India,IND,2020,electricity_consumption_kwh_per_capita,901.399579163301,WorldBank_electricity_API_real,2026-04-26
India,IND,2019,electricity_consumption_kwh_per_capita,988.272169542114,WorldBank_electricity_API_real,2026-04-26
India,IND,2018,electricity_consumption_kwh_per_capita,970.834176233242,WorldBank_electricity_API_real,2026-04-26
India,IND,2017,electricity_consumption_kwh_per_capita,918.313686962613,WorldBank_electricity_API_real,2026-04-26
India,IND,2016,electricity_consumption_kwh_per_capita,879.945696796945,WorldBank_electricity_API_real,2026-04-26
India,IND,2015,electricity_consumption_kwh_per_capita,841.085387869102,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2023,electricity_consumption_kwh_per_capita,7655.01641748312,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2022,electricity_consumption_kwh_per_capita,7800.08060580129,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2021,electricity_consumption_kwh_per_capita,7960.01209182637,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2020,electricity_consumption_kwh_per_capita,7687.25893189504,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2019,electricity_consumption_kwh_per_capita,7853.03988691731,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2018,electricity_consumption_kwh_per_capita,8058.01547184393,WorldBank_electricity_API_real,2026-04-26
