typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,hs_code_query,year_query,data_source,retrieval_timestamp
C,A,20180101,2018,52,2018,699,IND,India,M,Import,0,W00,World,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3999326.501,True,-1,N/A,0.0,False,3999326.501,True,,False,142255609.333,,142255609.333,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,,False,1466.899,,1466.899,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,573.0,False,8,kg,573.0,False,573.0,False,,False,44251.525,,44251.525,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,156,CHN,China,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3461999.0,False,8,kg,3461999.0,False,3461999.0,False,,False,123906266.725,,123906266.725,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1204.0,False,8,kg,1204.0,False,1204.0,False,,False,93496.105,,93496.105,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,251,FRA,France,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,327.0,False,8,kg,327.0,False,327.0,False,,False,451237.539,,451237.539,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1654.0,False,8,kg,1654.0,False,1654.0,False,,False,652727.306,,652727.306,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6.0,False,8,kg,6.0,False,6.0,False,,False,4793.222,,4793.222,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,376,ISR,Israel,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,879.29,True,-1,N/A,0.0,False,879.29,True,,False,303671.187,,303671.187,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
C,A,20180101,2018,52,2018,699,IND,India,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,109.0,False,8,kg,109.0,False,109.0,False,,False,46270.045,,46270.045,0,False,True,3818,2018,UN_Comtrade_India_reporter,2026-05-01T07:21:48.966485
