state__ut_name,_2016_17___institutions,_2016_17___approved_intake,_2015_16___institutions,_2015_16___approved_intake,_2015_16___enrollment,_2015_16___vacancy_,_2014_15___institutions,_2014_15___approved_intake,_2014_15___enrollment,_2014_15___vacancy_,_2013_14___institutions,_2013_14___approved_intake,_2013_14___enrollment,_2013_14___vacancy_,source_dataset,_sl__no_,academic_year,number_of_government_engineering_institutes,approved_seats_in_government_engineering_institutes,data_source,retrieval_date
Andaman and Nicobar Islands,1.0,360.0,1.0,360.0,391.0,0,1.0,360.0,383.0,0,1.0,360.0,398.0,0,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Andhra Pradesh,485.0,284472.0,498.0,294548.0,163188.0,44.6,492.0,299486.0,155651.0,48.03,486.0,268925.0,154669.0,42.49,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Arunachal Pradesh,8.0,978.0,2.0,420.0,198.0,52.86,7.0,1320.0,595.0,54.93,3.0,636.0,297.0,53.31,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Assam,33.0,7921.0,31.0,7931.0,4464.0,43.72,31.0,7967.0,4540.0,43.02,31.0,7489.0,4769.0,36.32,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Bihar,85.0,27604.0,65.0,23044.0,14087.0,38.87,55.0,20839.0,10821.0,48.08,47.0,17391.0,7724.0,55.59,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Chandigarh,9.0,2310.0,10.0,3117.0,1556.0,50.09,9.0,2391.0,2024.0,15.35,9.0,2271.0,1931.0,14.98,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Chhattisgarh,92.0,36294.0,91.0,35154.0,17035.0,51.55,90.0,42425.0,18578.0,56.21,76.0,36125.0,20258.0,43.93,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Dadra and Nagar Haveli,1.0,330.0,1.0,330.0,280.0,15.16,1.0,330.0,295.0,10.61,1.0,330.0,321.0,2.73,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Daman and Diu,2.0,540.0,2.0,540.0,523.0,3.15,1.0,360.0,347.0,3.62,1.0,360.0,360.0,0,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Delhi,33.0,14624.0,36.0,16071.0,9854.0,38.69,34.0,15743.0,13692.0,13.03,36.0,15917.0,12717.0,20.11,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
