item,_2000_01,__2001_02,__2002_03,__2003_04,__2004_05,__2005_06,__2006_07,__2007_08,__2008_09,__2009_10,__2010_11,__2011_12,__2012_13,__2013_14,__2014_15,__2015_16,dataset,_2011_12__estimated_,data_source,retrieval_date
Consumer Electronics,11950,12700,13800,15200,16800,18000,20000,22600,25550,29000,32000,34300,40447,47599,55806,NA,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Industrial Electronics,4000,4500,5550,6100,8300,8800,10400,11910,12740,15160,17000,18700,25800,33600,39374,45083,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Computer Hardware,3400,3550,4250,6800,8800,10800,12800,15870,13490,14970,14970,16500,9376,17484,18691,NA,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Mobile Handsets,4500,4500,4800,5350,4800,7000,9500,18700,26600,31000,35400,40500,34600,26650,18900,54000,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Strategic Electronics,1750,1800,2500,2750,3000,3200,4500,5700,6840,6980,7700,8500,9000,13800,15700,NA,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Electronics Components,500,5700,6600,7600,8800,8800,8800,9630,12040,13610,21800,24800,26645,32102,39723,NA,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
LED (Part of Electronic Components),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275,1941,2172,3590,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Sub-Total (Hardware),31100,32750,37500,43800,50500,56600,66000,84410,97260,110720,128870,143300,147143,173176,190366,102673,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Software for Exports,28350,36500,46100,58240,80180,104100,141000,164400,216190,237000,268610,332769,412191,527292,600000,700000,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Domestic Software,9400,10874,13400,16250,21740,29600,37000,47010,59000,67800,78700,91766,104700,114784,129432,140455,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Sub-Total (Software),37750,47374,59500,16250,101920,133700,178000,211410,275190,304800,347310,424535,516891,642076,729432,840455,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Grand Total,68850,80124,97000,118290,152420,190300,244000,295820,372450,415520,476180,567835,664034,815252,919798,943128,All India Electronics IT Production 2000-2016,,DataGovIn_electronics_API_real,2026-04-26
Consumer Electronics,11950,12700,13800,15200,16800,18000,20000,22600,25550,29000,32000,,,,,,Electronics IT Production 2011-12,34300,DataGovIn_electronics_API_real,2026-04-26
Industrial Electronics,4000,4500,5550,6100,8300,8800,10400,11910,12740,15160,17000,,,,,,Electronics IT Production 2011-12,18700,DataGovIn_electronics_API_real,2026-04-26
Computer Hardware,3400,3550,4250,6800,8800,10800,12800,15870,13490,14970,14970,,,,,,Electronics IT Production 2011-12,16500,DataGovIn_electronics_API_real,2026-04-26
Communication & Broadcast Equipments,4500,4500,4800,5350,4800,7000,9500,18700,26600,31000,35400,,,,,,Electronics IT Production 2011-12,40500,DataGovIn_electronics_API_real,2026-04-26
Strategic Electronics,1750,1800,2500,2750,3000,3200,4500,5700,6800,6980,7700,,,,,,Electronics IT Production 2011-12,8500,DataGovIn_electronics_API_real,2026-04-26
Electronics Components,500,5700,6600,7600,8800,8800,8800,9630,12040,13610,21800,,,,,,Electronics IT Production 2011-12,24800,DataGovIn_electronics_API_real,2026-04-26
Software for Exports,28350,36500,46100,58240,80180,104100,141000,164400,216190,237000,268610,,,,,,Electronics IT Production 2011-12,332445,DataGovIn_electronics_API_real,2026-04-26
Domestic Software,9400,10874,13400,16250,21740,29600,37000,47010,59000,67800,78700,,,,,,Electronics IT Production 2011-12,91765,DataGovIn_electronics_API_real,2026-04-26
Total,68850,80124,97000,118290,152420,190300,244000,295820,372450,415520,476180,,,,,,Electronics IT Production 2011-12,567510,DataGovIn_electronics_API_real,2026-04-26
