country,iso3,year,indicator,value,data_source,retrieval_date
Germany,DEU,2023,labor_force_advanced_education_pct,73.015,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2022,labor_force_advanced_education_pct,72.721,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2021,labor_force_advanced_education_pct,73.013,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2020,labor_force_advanced_education_pct,72.689,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2019,labor_force_advanced_education_pct,74.372,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2018,labor_force_advanced_education_pct,73.74,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2017,labor_force_advanced_education_pct,74.072,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2016,labor_force_advanced_education_pct,74.031,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2015,labor_force_advanced_education_pct,73.63,WorldBank_talent_API_real,2026-04-26
India,IND,2023,labor_force_advanced_education_pct,65.269,WorldBank_talent_API_real,2026-04-26
India,IND,2022,labor_force_advanced_education_pct,63.462,WorldBank_talent_API_real,2026-04-26
India,IND,2021,labor_force_advanced_education_pct,61.889,WorldBank_talent_API_real,2026-04-26
India,IND,2020,labor_force_advanced_education_pct,61.103,WorldBank_talent_API_real,2026-04-26
India,IND,2019,labor_force_advanced_education_pct,61.446,WorldBank_talent_API_real,2026-04-26
India,IND,2018,labor_force_advanced_education_pct,60.646,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2020,labor_force_advanced_education_pct,78.627,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2019,labor_force_advanced_education_pct,79.094,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2018,labor_force_advanced_education_pct,78.325,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2017,labor_force_advanced_education_pct,78.102,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2016,labor_force_advanced_education_pct,77.724,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2015,labor_force_advanced_education_pct,77.561,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2023,labor_force_advanced_education_pct,74.068,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2022,labor_force_advanced_education_pct,73.532,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2021,labor_force_advanced_education_pct,72.177,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2020,labor_force_advanced_education_pct,71.36,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2019,labor_force_advanced_education_pct,72.296,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2018,labor_force_advanced_education_pct,72.237,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2017,labor_force_advanced_education_pct,72.299,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2016,labor_force_advanced_education_pct,72.108,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2015,labor_force_advanced_education_pct,71.942,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2022,labor_force_advanced_education_pct,77.915,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2021,labor_force_advanced_education_pct,69.99,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2020,labor_force_advanced_education_pct,76.617,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2018,labor_force_advanced_education_pct,70.459,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2017,labor_force_advanced_education_pct,69.644,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2016,labor_force_advanced_education_pct,69.248,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2015,labor_force_advanced_education_pct,69.331,WorldBank_talent_API_real,2026-04-26
United States,USA,2023,labor_force_advanced_education_pct,71.866,WorldBank_talent_API_real,2026-04-26
United States,USA,2022,labor_force_advanced_education_pct,71.78,WorldBank_talent_API_real,2026-04-26
United States,USA,2021,labor_force_advanced_education_pct,71.375,WorldBank_talent_API_real,2026-04-26
United States,USA,2020,labor_force_advanced_education_pct,71.64,WorldBank_talent_API_real,2026-04-26
United States,USA,2019,labor_force_advanced_education_pct,73.125,WorldBank_talent_API_real,2026-04-26
United States,USA,2018,labor_force_advanced_education_pct,73.175,WorldBank_talent_API_real,2026-04-26
United States,USA,2017,labor_force_advanced_education_pct,73.25,WorldBank_talent_API_real,2026-04-26
United States,USA,2016,labor_force_advanced_education_pct,73.56,WorldBank_talent_API_real,2026-04-26
United States,USA,2015,labor_force_advanced_education_pct,73.844,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2023,labor_force_advanced_education_pct,87.263,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2022,labor_force_advanced_education_pct,87.632,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2021,labor_force_advanced_education_pct,85.487,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2020,labor_force_advanced_education_pct,88.117,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2019,labor_force_advanced_education_pct,87.716,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2018,labor_force_advanced_education_pct,87.65,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2017,labor_force_advanced_education_pct,87.644,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2016,labor_force_advanced_education_pct,87.531,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2015,labor_force_advanced_education_pct,87.743,WorldBank_talent_API_real,2026-04-26
China,CHN,2020,population_STEM_tertiary_pct,16.1218109130859,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2022,population_STEM_tertiary_pct,30.2490310190636,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2021,population_STEM_tertiary_pct,30.0148589424064,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2020,population_STEM_tertiary_pct,28.90452003479,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2019,population_STEM_tertiary_pct,27.8391136593667,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2018,population_STEM_tertiary_pct,25.7418899536133,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2017,population_STEM_tertiary_pct,26.6459857256822,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2016,population_STEM_tertiary_pct,26.1768093109131,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2015,population_STEM_tertiary_pct,25.4261207580566,WorldBank_talent_API_real,2026-04-26
India,IND,2021,population_STEM_tertiary_pct,12.3699246623116,WorldBank_talent_API_real,2026-04-26
India,IND,2019,population_STEM_tertiary_pct,11.8733481311439,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2023,population_STEM_tertiary_pct,48.6515113220861,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2022,population_STEM_tertiary_pct,47.5099167162514,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2021,population_STEM_tertiary_pct,46.9363236351046,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2020,population_STEM_tertiary_pct,46.4535750453089,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2019,population_STEM_tertiary_pct,46.0058004727794,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2018,population_STEM_tertiary_pct,45.3113742089373,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2017,population_STEM_tertiary_pct,44.3815791101734,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2016,population_STEM_tertiary_pct,43.6879936737268,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2015,population_STEM_tertiary_pct,40.3022689819336,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2022,population_STEM_tertiary_pct,23.3401699066162,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2019,population_STEM_tertiary_pct,20.2880592346191,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2016,population_STEM_tertiary_pct,18.8380794525146,WorldBank_talent_API_real,2026-04-26
United States,USA,2023,population_STEM_tertiary_pct,49.1423604728753,WorldBank_talent_API_real,2026-04-26
United States,USA,2022,population_STEM_tertiary_pct,48.1234016418457,WorldBank_talent_API_real,2026-04-26
United States,USA,2021,population_STEM_tertiary_pct,47.9144197512147,WorldBank_talent_API_real,2026-04-26
United States,USA,2020,population_STEM_tertiary_pct,48.089168548584,WorldBank_talent_API_real,2026-04-26
United States,USA,2019,population_STEM_tertiary_pct,46.3481183056035,WorldBank_talent_API_real,2026-04-26
United States,USA,2018,population_STEM_tertiary_pct,45.167911529541,WorldBank_talent_API_real,2026-04-26
United States,USA,2017,population_STEM_tertiary_pct,44.6631667831651,WorldBank_talent_API_real,2026-04-26
United States,USA,2016,population_STEM_tertiary_pct,43.5118789672852,WorldBank_talent_API_real,2026-04-26
United States,USA,2015,population_STEM_tertiary_pct,42.3375091552734,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2023,population_STEM_tertiary_pct,14.847107507825,WorldBank_talent_API_real,2026-04-26
