country_iso3,country,year,corporate_tax_rate_pct,data_source,retrieval_date
CHN,China,1980,55.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1981,55.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1982,55.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1983,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1984,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1985,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1986,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1987,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1988,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1989,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1990,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1991,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1992,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1993,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1994,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1995,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1996,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1997,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1998,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,1999,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2000,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2001,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2002,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2003,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2004,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2005,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2006,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2007,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2008,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2009,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2010,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2011,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2012,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2013,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2014,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2015,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2016,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2017,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2018,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2019,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2020,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2021,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2022,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
CHN,China,2023,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1981,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1982,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1983,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1984,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1985,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1986,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1987,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1988,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1989,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1990,54.54545455,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1991,56.25,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1992,58.15217391,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1993,56.52173913,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1994,52.17391304,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1995,55.10869565,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1996,55.87606838,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1997,56.79916318,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1998,56.0460251,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,1999,52.03319502,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2000,52.03,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2001,38.9,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2002,38.9,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2003,40.215768,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2004,38.900415,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2005,38.900415,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2006,38.900415,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2007,38.900415,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2008,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2009,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2010,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2011,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2012,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2013,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2014,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2015,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2016,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2017,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2018,29.825,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2019,29.897059,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2020,29.897059,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2021,29.937781,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2022,29.83,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2023,29.941,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1980,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1981,59.1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1982,56.4,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1983,56.4,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1984,55.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1985,55.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1986,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1987,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1988,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1989,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1990,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1991,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
