country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
CHN,China,2024,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2023,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2022,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2021,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2020,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2019,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2018,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2017,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2016,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2015,FR.INR.LEND,lending_rate_pct,4.35,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2014,FR.INR.LEND,lending_rate_pct,5.6,WorldBank_API_real_supplementary,2026-04-29
IND,India,2022,FR.INR.LEND,lending_rate_pct,8.56714285714286,WorldBank_API_real_supplementary,2026-04-29
IND,India,2021,FR.INR.LEND,lending_rate_pct,8.69833333333333,WorldBank_API_real_supplementary,2026-04-29
IND,India,2020,FR.INR.LEND,lending_rate_pct,9.15,WorldBank_API_real_supplementary,2026-04-29
IND,India,2019,FR.INR.LEND,lending_rate_pct,9.46625,WorldBank_API_real_supplementary,2026-04-29
IND,India,2018,FR.INR.LEND,lending_rate_pct,9.45416666666667,WorldBank_API_real_supplementary,2026-04-29
IND,India,2017,FR.INR.LEND,lending_rate_pct,9.50833333333333,WorldBank_API_real_supplementary,2026-04-29
IND,India,2016,FR.INR.LEND,lending_rate_pct,9.6725,WorldBank_API_real_supplementary,2026-04-29
IND,India,2015,FR.INR.LEND,lending_rate_pct,10.0083333333333,WorldBank_API_real_supplementary,2026-04-29
IND,India,2014,FR.INR.LEND,lending_rate_pct,10.25,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2017,FR.INR.LEND,lending_rate_pct,0.994,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2016,FR.INR.LEND,lending_rate_pct,1.04475,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2015,FR.INR.LEND,lending_rate_pct,1.14283333333333,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2014,FR.INR.LEND,lending_rate_pct,1.21916666666667,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2024,FR.INR.LEND,lending_rate_pct,4.72666666666667,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2023,FR.INR.LEND,lending_rate_pct,5.18916666666667,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2022,FR.INR.LEND,lending_rate_pct,4.2925,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2021,FR.INR.LEND,lending_rate_pct,2.88416666666667,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2020,FR.INR.LEND,lending_rate_pct,2.80166666666667,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2019,FR.INR.LEND,lending_rate_pct,3.44583333333333,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2018,FR.INR.LEND,lending_rate_pct,3.6625,WorldBank_API_real_supplementary,2026-04-29
