sl__no_,sector,_2018_19,_2019_20,_2020_21,_2021_22,_2022_23,dataset_label,sector_name,amount_in_rs,amount_in_usd,data_source,retrieval_date
1,Agricultural Machinery,5.78,102.31,142.59,268.73,742.06,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
2,Agriculture Services,88.96,52.28,117.14,258.47,450.7,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
3,Air Transport (Including Air Freight),190.64,918.3,204.1,584.83,215.73,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
4,Automobile Industry,2623.22,2824.03,1637.44,6993.55,1902.21,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
5,Boilers and Steam Generating Plants,0.01,0.08,0.9,NA,NA,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
6,Cement and Gypsum Products,17.61,5.1,3.78,204.41,1.89,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
7,Ceramics,58.09,2.77,20.61,1.34,83.24,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
8,Chemicals (other than Fertilizers),1980.99,1057.51,847.07,965.78,1850.01,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
9,"Commercial, Office & Household Equipments",11.78,2.65,47.25,17.24,20.07,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
10,Computer Software & Hardware,6415.21,7673.32,26144.69,14461.35,9394.22,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
11,Construction (Infrastructure) Activities,2258.0,2041.72,7874.54,3247.51,1703.4,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
12,"Construction Development: Townships, Housing, Built- up Ifrastructure and Construction-Development Projects",213.15,616.54,422.09,124.99,146.62,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
13,Consultancy Services,410.61,1046.8,938.44,1150.4,605.43,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
14,Defence Industries,2.18,2.2,0.63,2.36,3.27,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
15,"Diamond, Gold Ornaments",29.15,18.87,13.83,22.22,25.5,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
16,Drugs & Pharmaceuticals,265.97,517.79,1490.49,1414.24,2058.42,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
17,Dye-stuffs,1.52,5.14,4.44,2.94,1.15,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
18,Earth-moving Machinery,34.16,14.08,39.39,60.6,33.2,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
19,Education,776.73,766.15,1250.37,3228.68,1443.24,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
20,Electrical Equipments,976.5,572.01,1411.95,683.7,909.11,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
21,Electronics,451.88,422.37,375.31,417,539.98,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
22,Fermentation Industries,149.49,313.67,84.77,869.52,307.22,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
23,Fertilizers,86.73,9.12,17.89,6.07,9.34,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
24,Food Processing Industries,628.24,904.7,393.41,709.71,895.84,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
25,Glass,35.38,23.97,42.36,588.22,58.07,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
26,Glue And Gelatin,13.29,2.76,0.74,4.56,9.6,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
27,Hospital & Diagnostic Centres,1044.61,634.73,501.16,697.5,809.6,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
28,Hotel & Tourism,1075.75,2937.79,368.96,729.08,328.04,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
29,Industrial Instruments,1.62,8.32,0.7,0.11,NA,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
30,Industrial Machinery,338.18,424.63,253.33,320.66,260.88,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
31,Information & Broadcasting (including Print Media),1252.36,823.4,313.89,152.27,465.61,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
32,"Leather, Leather Goods and Pickers",4.52,12.6,8.89,7.15,33.11,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
33,Machine Tools,44.93,28.83,20.91,31.23,42.95,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
34,Medical and Surgical Appliances,156.72,308.71,68.91,208.05,397.2,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
35,Metallurgical Industries,598.84,2100.65,1340.47,2272.35,218.59,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
36,Mining,224.16,199.23,168.77,344.61,167.15,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
37,Miscellaneous Industries,454.04,839.0,767.52,492.91,409.94,fdi_sector_2018_23,,,,DPIIT_FDI_API_Live,2026-04-26
