iso_2,iso_3,continent,country,year,rate,gdp,oecd,eu27,gseven,gtwenty,brics,data_source,retrieval_date,notes
CN,CHN,AS,China,1980,55.2,422.697387695312,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1981,55.2,444.561004638672,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1982,55.2,484.279998779297,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1983,40.0,536.752746582031,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1984,40.0,618.0126953125,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1985,40.0,701.094604492188,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1986,40.0,763.770385742188,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1987,40.0,853.046997070312,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1988,40.0,948.882690429688,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1989,40.0,988.601684570312,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1990,40.0,1027.22741699219,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1991,40.0,1122.69873046875,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1992,30.0,1282.30346679688,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1993,30.0,1460.1279296875,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1994,33.0,1650.70617675781,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1995,33.0,1831.44567871094,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1996,33.0,2013.27844238281,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1997,33.0,2199.11938476562,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
